ID,Name,Nick Name,TEAM_ID,TEAM_ABBREVIATION,DATE,SEASON,GAME_TYPE,PACE,PIE,PASSES_MADE,SEC_TOUCH,ADJ_REB_CHANCE_%,ADJ_OFF_REB_CHANCE_%,ADJ_DEF_REB_CHANCE_%,AVG_SPEED_OFF,FGM_RA,FGA_RA,FGM_PAINT,FGA_PAINT,FGM_MID-RANGE,FGA_MID-RANGE,FGM_CORNER,FGA_CORNER,FGM_AB,FGA_AB,DEFLECTIONS,SCREEN_AST_PTS,DRIVE_PTS,C&S_PTS,PULL_UP_PTS,PAINT_TOUCH_PTS,POST_TOUCH_PTS,ELBOW_TOUCH_PTS,OPP_2PT_FREQ_%,OPP_2PT_DFGM,OPP_2PT_DFGA,OPP_2PT_FG_%,OPP_3PT_DFGA,OPP_3PT_FREQ_%,OPP_3PT_FG_%,OPP_3PT_DFGM
204038,Langston Galloway,Langston,1610612752,NYK,01/01/2015,2015-16,Regular Season,0.0,0.0,36.1,,,,,,0.3,1.0,0.0,0.3,1.0,1.8,0.2,0.4,1.5,3.0,0.0,0.0,,,,,,,,,,,,,,
204038,Langston Galloway,Langston,1610612758,SAC,01/01/2016,2016-17,Regular Season,0.0,0.0,22.2,,,,,,0.5,1.0,0.3,0.7,0.7,1.8,0.2,0.8,1.0,2.7,1.68,0.24,,,,,,,,,,,,,,
204038,Langston Galloway,Langston,1610612765,DET,01/01/2017,2017-18,Regular Season,0.0,0.0,11.3,,,,,,0.0,1.2,0.0,1.4,1.0,2.6,0.8,0.8,0.8,3.8,0.94,0.13,,,,,,,,,,,,,,
204038,Langston Galloway,Langston,1610612765,DET,01/01/2018,2018-19,Regular Season,0.0,0.0,17.4,1.7,65.20,66.70,65.00,4.63,0.6,1.0,0.4,0.8,0.4,0.6,0.6,1.8,2.0,4.8,0.88,0.24,0.5,6.8,1.0,0.0,0.0,0.0,69.6,4.25,8.0,53.1,3.5,30.4,35.699999999999996,1.25
204038,Langston Galloway,Langston,1610612765,DET,01/01/2019,2019-20,Regular Season,0.0,0.0,16.0,,,,,,0.2,0.4,0.2,0.6,0.0,0.6,1.0,2.6,0.8,2.4,1.29,0.47,,,,,,,,,,,,,,
204038,Langston Galloway,Langston,1610612756,PHX,01/01/2020,2020-21,Regular Season,0.0,0.0,4.4,2.5,100.00,0.00,100.00,4.95,0.3,1.3,0.3,0.5,0.8,1.5,0.8,3.0,2.3,2.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,0.5,1.0,50.0,1.0,50.0,50.0,0.5
204038,Langston Galloway,Langston,1610612749,MIL,01/01/2021,2021-22,Regular Season,0.0,0.0,12.5,,,,,,0.3,0.7,0.0,0.3,0.0,0.7,0.5,1.0,0.3,2.0,0.0,0.5,,,,,,,,,,,,,,
204038,Langston Galloway,Langston,1610612754,IND,01/01/2022,2022-23,Regular Season,,,,,,,,,0.0,0.0,0.0,0.0,0.3,0.3,0.0,0.5,0.3,0.7,,,,,,,,,,,,,,,,
