ID,Name,Nick Name,TEAM_ID,TEAM_ABBREVIATION,DATE,SEASON,GAME_TYPE,PACE,PIE,PASSES_MADE,SEC_TOUCH,ADJ_REB_CHANCE_%,ADJ_OFF_REB_CHANCE_%,ADJ_DEF_REB_CHANCE_%,AVG_SPEED_OFF,FGM_RA,FGA_RA,FGM_PAINT,FGA_PAINT,FGM_MID-RANGE,FGA_MID-RANGE,FGM_CORNER,FGA_CORNER,FGM_AB,FGA_AB,DEFLECTIONS,SCREEN_AST_PTS,DRIVE_PTS,C&S_PTS,PULL_UP_PTS,PAINT_TOUCH_PTS,POST_TOUCH_PTS,ELBOW_TOUCH_PTS,OPP_2PT_FREQ_%,OPP_2PT_DFGM,OPP_2PT_DFGA,OPP_2PT_FG_%,OPP_3PT_DFGA,OPP_3PT_FREQ_%,OPP_3PT_FG_%,OPP_3PT_DFGM
2744,Al Jefferson,Al,1610612766,CHA,01/01/2015,2015-16,Regular Season,0.0,0.0,16.1,2.41,54.40,45.20,60.40,3.98,2.2,3.2,1.0,4.0,1.3,3.5,0.0,0.0,0.0,0.2,0.0,0.0,0.0,2.0,1.1,4.6,6.0,0.9,97.8,2.86,6.29,45.5,0.14,2.1999999999999997,0.0,0.0
2744,Al Jefferson,Al,1610612754,IND,01/01/2016,2016-17,Regular Season,0.0,0.0,14.8,,,,,,2.5,4.3,1.3,2.3,1.2,3.0,0.0,0.0,0.0,0.0,0.68,3.71,,,,,,,,,,,,,,
2744,Al Jefferson,Al,1610612754,IND,01/01/2017,2017-18,Regular Season,0.0,0.0,22.4,,,,,,0.7,0.7,1.0,2.3,0.7,2.0,0.0,0.0,0.0,0.0,1.23,1.92,,,,,,,,,,,,,,
