ID,Name,Nick Name,TEAM_ID,TEAM_ABBREVIATION,DATE,SEASON,GAME_TYPE,PACE,PIE,PASSES_MADE,SEC_TOUCH,ADJ_REB_CHANCE_%,ADJ_OFF_REB_CHANCE_%,ADJ_DEF_REB_CHANCE_%,AVG_SPEED_OFF,FGM_RA,FGA_RA,FGM_PAINT,FGA_PAINT,FGM_MID-RANGE,FGA_MID-RANGE,FGM_CORNER,FGA_CORNER,FGM_AB,FGA_AB,DEFLECTIONS,SCREEN_AST_PTS,DRIVE_PTS,C&S_PTS,PULL_UP_PTS,PAINT_TOUCH_PTS,POST_TOUCH_PTS,ELBOW_TOUCH_PTS,OPP_2PT_FREQ_%,OPP_2PT_DFGM,OPP_2PT_DFGA,OPP_2PT_FG_%,OPP_3PT_DFGA,OPP_3PT_FREQ_%,OPP_3PT_FG_%,OPP_3PT_DFGM
1628410,Edmond Sumner,Edmond,1610612754,IND,01/01/2018,2018-19,Regular Season,0.0,0.0,2.7,1.4,100.00,0.00,100.00,0.0,2.8,3.3,0.3,0.8,0.0,0.0,0.3,0.5,0.3,0.8,0.29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,
1628410,Edmond Sumner,Edmond,1610612754,IND,01/01/2019,2019-20,Regular Season,0.0,0.0,11.5,2.16,85.70,100.00,83.30,4.47,2.1,3.4,0.3,0.6,0.3,0.6,0.2,0.5,0.4,1.4,1.64,0.27,0.7,0.0,0.0,0.0,0.0,0.0,60.0,2.0,4.5,44.4,3.0,40.0,33.300000000000004,1.0
1628410,Edmond Sumner,Edmond,1610612754,IND,01/01/2020,2020-21,Regular Season,0.0,0.0,1.0,,,,,,2.0,3.0,0.0,0.0,0.0,0.5,0.0,0.0,0.5,1.5,0.0,0.0,,,,,,,,,,,,,,
1628410,Edmond Sumner,Edmond,1610612751,BKN,01/01/2022,2022-23,Regular Season,0.0,0.0,16.9,4.55,,,,5.38,2.0,4.0,0.0,0.5,0.5,1.0,0.0,1.0,0.0,0.5,1.26,0.19,0.0,0.0,0.0,0.0,0.0,0.0,,,,,2.0,100.0,50.0,1.0
1628410,Edmond Sumner,Edmond,1610612766,CHA,01/01/2023,2023-24,Regular Season,,,,,,,,,0.8,1.8,0.0,1.0,0.0,0.3,0.3,0.8,0.0,1.8,,,,,,,,,,,,,,,,
