ID,Name,Nick Name,TEAM_ID,TEAM_ABBREVIATION,DATE,SEASON,GAME_TYPE,PACE,PIE,PASSES_MADE,SEC_TOUCH,ADJ_REB_CHANCE_%,ADJ_OFF_REB_CHANCE_%,ADJ_DEF_REB_CHANCE_%,AVG_SPEED_OFF,FGM_RA,FGA_RA,FGM_PAINT,FGA_PAINT,FGM_MID-RANGE,FGA_MID-RANGE,FGM_CORNER,FGA_CORNER,FGM_AB,FGA_AB,DEFLECTIONS,SCREEN_AST_PTS,DRIVE_PTS,C&S_PTS,PULL_UP_PTS,PAINT_TOUCH_PTS,POST_TOUCH_PTS,ELBOW_TOUCH_PTS,OPP_2PT_FREQ_%,OPP_2PT_DFGM,OPP_2PT_DFGA,OPP_2PT_FG_%,OPP_3PT_DFGA,OPP_3PT_FREQ_%,OPP_3PT_FG_%,OPP_3PT_DFGM
1629750,Javonte Green,Javonte,1610612738,BOS,01/01/2019,2019-20,Regular Season,0.0,0.0,6.8,2.82,50.00,0.00,50.00,3.68,2.7,3.1,0.1,0.4,0.0,0.1,0.4,0.7,0.1,0.3,0.52,0.36,0.0,0.0,3.0,0.0,0.0,0.0,50.0,0.0,1.0,0.0,1.0,50.0,100.0,1.0
1629750,Javonte Green,Javonte,1610612741,CHI,01/01/2020,2020-21,Regular Season,0.0,0.0,14.0,,,,,,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,1.0,0.5,0.0,,,,,,,,,,,,,,
1629750,Javonte Green,Javonte,1610612741,CHI,01/01/2021,2021-22,Regular Season,0.0,0.0,17.3,1.2,50.00,44.40,58.30,4.83,1.8,2.8,0.3,0.5,0.0,0.3,0.3,0.3,0.3,0.3,1.86,1.41,0.0,0.0,0.0,0.4,0.0,0.0,70.8,2.4,3.4,70.6,1.4,29.2,28.599999999999998,0.4
1629750,Javonte Green,Javonte,1610612741,CHI,01/01/2022,2022-23,Regular Season,0.0,0.0,18.4,,,,,,3.3,4.0,0.3,0.8,0.0,0.0,0.8,1.0,0.8,1.3,2.21,1.18,,,,,,,,,,,,,,
