ID,Name,Nick Name,TEAM_ID,TEAM_ABBREVIATION,DATE,SEASON,GAME_TYPE,PACE,PIE,PASSES_MADE,SEC_TOUCH,ADJ_REB_CHANCE_%,ADJ_OFF_REB_CHANCE_%,ADJ_DEF_REB_CHANCE_%,AVG_SPEED_OFF,FGM_RA,FGA_RA,FGM_PAINT,FGA_PAINT,FGM_MID-RANGE,FGA_MID-RANGE,FGM_CORNER,FGA_CORNER,FGM_AB,FGA_AB,DEFLECTIONS,SCREEN_AST_PTS,DRIVE_PTS,C&S_PTS,PULL_UP_PTS,PAINT_TOUCH_PTS,POST_TOUCH_PTS,ELBOW_TOUCH_PTS,OPP_2PT_FREQ_%,OPP_2PT_DFGM,OPP_2PT_DFGA,OPP_2PT_FG_%,OPP_3PT_DFGA,OPP_3PT_FREQ_%,OPP_3PT_FG_%,OPP_3PT_DFGM
201933,Blake Griffin,Blake,1610612746,LAC,01/01/2015,2015-16,Regular Season,0.0,0.0,61.3,2.44,58.30,36.80,68.30,3.83,3.7,6.0,0.5,1.5,3.2,7.3,0.0,0.3,0.0,0.2,0.0,0.0,2.3,3.3,0.0,3.0,2.0,6.0,60.4,3.5,7.25,48.3,4.75,39.6,26.3,1.25
201933,Blake Griffin,Blake,1610612746,LAC,01/01/2016,2016-17,Regular Season,0.0,0.0,57.8,2.6,50.00,23.10,65.20,4.1,3.8,4.4,0.0,0.6,1.8,4.4,0.0,0.2,0.6,1.6,1.85,6.12,3.7,5.3,0.0,3.3,3.3,2.0,62.1,3.0,6.0,50.0,3.67,37.9,45.5,1.67
201933,Blake Griffin,Blake,1610612765,DET,01/01/2017,2017-18,Regular Season,0.0,0.0,58.3,,,,,,2.5,3.5,0.3,0.3,1.0,2.8,0.8,1.3,1.3,3.0,1.76,5.43,,,,,,,,,,,,,,
201933,Blake Griffin,Blake,1610612765,DET,01/01/2018,2018-19,Regular Season,0.0,0.0,63.3,3.72,66.70,66.70,61.50,3.9,3.3,4.0,1.3,3.0,0.3,2.0,0.0,0.3,2.0,4.3,1.27,4.97,7.5,6.0,3.0,4.5,1.5,0.0,55.60000000000001,3.5,7.5,46.7,6.0,44.4,25.0,1.5
201933,Blake Griffin,Blake,1610612765,DET,01/01/2019,2019-20,Regular Season,0.0,0.0,41.6,,,,,,1.5,2.0,0.5,1.5,0.0,0.0,0.5,1.0,1.0,3.5,0.94,3.44,,,,,,,,,,,,,,
201933,Blake Griffin,Blake,1610612751,BKN,01/01/2020,2020-21,Regular Season,0.0,0.0,50.7,2.0,59.20,48.40,60.20,3.78,1.3,1.5,0.5,1.3,0.3,0.5,0.0,1.3,1.3,4.0,2.0,2.33,0.8,2.8,0.8,2.2,0.0,0.3,72.5,7.58,12.33,61.5,4.67,27.500000000000004,37.5,1.75
201933,Blake Griffin,Blake,1610612751,BKN,01/01/2021,2021-22,Regular Season,0.0,0.0,27.4,1.63,40.00,25.00,66.70,3.51,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.5,1.08,3.52,0.0,3.0,0.0,0.0,0.0,1.0,55.60000000000001,2.0,5.0,40.0,4.0,44.4,50.0,2.0
201933,Blake Griffin,Blake,1610612738,BOS,01/01/2022,2022-23,Regular Season,0.0,0.0,17.8,2.57,33.30,50.00,20.00,3.43,1.0,2.5,0.0,0.0,0.0,0.5,0.0,0.0,0.5,2.0,1.33,4.67,0.0,0.0,0.0,0.0,0.0,0.0,100.0,1.0,2.0,50.0,,,,
