ID,Name,Nick Name,TEAM_ID,TEAM_ABBREVIATION,DATE,SEASON,GAME_TYPE,PACE,PIE,PASSES_MADE,SEC_TOUCH,ADJ_REB_CHANCE_%,ADJ_OFF_REB_CHANCE_%,ADJ_DEF_REB_CHANCE_%,AVG_SPEED_OFF,FGM_RA,FGA_RA,FGM_PAINT,FGA_PAINT,FGM_MID-RANGE,FGA_MID-RANGE,FGM_CORNER,FGA_CORNER,FGM_AB,FGA_AB,DEFLECTIONS,SCREEN_AST_PTS,DRIVE_PTS,C&S_PTS,PULL_UP_PTS,PAINT_TOUCH_PTS,POST_TOUCH_PTS,ELBOW_TOUCH_PTS,OPP_2PT_FREQ_%,OPP_2PT_DFGM,OPP_2PT_DFGA,OPP_2PT_FG_%,OPP_3PT_DFGA,OPP_3PT_FREQ_%,OPP_3PT_FG_%,OPP_3PT_DFGM
1627777,Georges Niang,Georges,1610612754,IND,01/01/2016,2016-17,Regular Season,0.0,0.0,7.3,,,,,,0.8,1.2,0.3,0.8,0.0,0.0,0.3,0.5,0.8,2.0,0.29,0.29,,,,,,,,,,,,,,
1627777,Georges Niang,Georges,1610612762,UTA,01/01/2017,2017-18,Regular Season,,,,,,,,,0.7,0.7,0.0,0.3,0.0,0.0,0.0,0.5,0.7,2.0,,,,,,,,,,,,,,,,
162777,Georges Niang,Georges,1610612744,GSW,01/01/2017,2017-18,Regular Season,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,,,,,,,,,,,,,,,,
1627777,Georges Niang,Georges,1610612762,UTA,01/01/2018,2018-19,Regular Season,0.0,0.0,9.4,1.75,70.00,0.00,70.00,4.69,1.0,1.2,0.4,0.4,0.2,0.2,0.4,1.2,1.2,2.0,0.4,0.12,0.8,1.8,0.6,0.4,0.0,0.8,57.099999999999994,0.0,1.6,0.0,1.2,42.9,16.7,0.2
1627777,Georges Niang,Georges,1610612762,UTA,01/01/2019,2019-20,Regular Season,0.0,0.0,11.4,1.45,65.20,66.70,61.10,4.63,0.6,0.9,0.4,1.6,0.0,0.4,0.5,2.0,1.4,3.3,0.48,0.26,2.0,5.4,0.9,0.0,0.0,0.6,56.00000000000001,2.29,4.0,57.099999999999994,3.14,44.0,54.50000000000001,1.71
1627777,Georges Niang,Georges,1610612762,UTA,01/01/2020,2020-21,Regular Season,0.0,0.0,9.5,1.43,67.90,28.60,81.00,4.9,0.7,1.0,0.3,0.7,0.3,0.7,0.5,1.5,1.3,2.0,0.0,0.0,0.5,2.5,0.2,0.2,0.0,0.0,65.10000000000001,1.18,2.55,46.400000000000006,1.36,34.9,33.300000000000004,0.45
1627777,Georges Niang,Georges,1610612755,PHI,01/01/2021,2021-22,Regular Season,0.0,0.0,29.1,1.27,64.30,57.10,60.90,4.27,0.8,1.8,0.5,1.0,0.3,0.5,0.5,1.3,1.3,3.0,1.0,1.84,0.3,3.5,0.5,0.3,0.0,0.2,65.2,1.92,3.58,53.5,1.92,34.8,30.4,0.58
1627777,Georges Niang,Georges,1610612755,PHI,01/01/2022,2022-23,Regular Season,0.0,0.0,22.2,1.45,66.70,0.00,66.70,4.37,0.5,0.8,0.0,0.8,0.0,0.0,0.0,0.5,1.8,3.8,0.73,1.85,1.1,2.7,0.9,0.0,0.0,0.0,47.599999999999994,1.1,2.0,55.00000000000001,2.2,52.400000000000006,36.4,0.8
1627777,Georges Niang,Georges,1610612739,CLE,01/01/2023,2023-24,Regular Season,0.0,0.0,27.0,1.82,48.00,37.50,50.00,4.49,0.3,0.8,0.0,0.3,0.0,0.3,0.3,1.0,2.0,3.8,0.91,2.25,1.2,0.9,0.4,0.2,0.0,0.0,69.0,3.1,4.9,63.3,2.2,31.0,54.50000000000001,1.2
