ID,Name,Nick Name,TEAM_ID,TEAM_ABBREVIATION,DATE,SEASON,GAME_TYPE,PACE,PIE,PASSES_MADE,SEC_TOUCH,ADJ_REB_CHANCE_%,ADJ_OFF_REB_CHANCE_%,ADJ_DEF_REB_CHANCE_%,AVG_SPEED_OFF,FGM_RA,FGA_RA,FGM_PAINT,FGA_PAINT,FGM_MID-RANGE,FGA_MID-RANGE,FGM_CORNER,FGA_CORNER,FGM_AB,FGA_AB,DEFLECTIONS,SCREEN_AST_PTS,DRIVE_PTS,C&S_PTS,PULL_UP_PTS,PAINT_TOUCH_PTS,POST_TOUCH_PTS,ELBOW_TOUCH_PTS,OPP_2PT_FREQ_%,OPP_2PT_DFGM,OPP_2PT_DFGA,OPP_2PT_FG_%,OPP_3PT_DFGA,OPP_3PT_FREQ_%,OPP_3PT_FG_%,OPP_3PT_DFGM
202713,Kyle Singler,Kyle,1610612760,OKC,01/01/2015,2015-16,Regular Season,0.0,0.0,8.4,1.47,58.30,33.30,66.70,4.73,0.0,0.0,0.2,0.6,0.2,0.4,0.2,0.8,0.2,0.6,0.0,0.0,0.0,0.5,0.5,0.3,0.0,0.3,88.9,2.0,3.2,62.5,0.4,11.1,0.0,0.0
202713,Kyle Singler,Kyle,1610612760,OKC,01/01/2016,2016-17,Regular Season,0.0,0.0,8.1,1.23,50.00,0.00,100.00,4.42,0.6,1.2,0.4,0.8,0.2,0.6,1.0,2.4,1.4,1.8,0.45,0.4,0.0,0.0,0.0,0.0,0.0,0.0,75.0,1.0,3.0,33.300000000000004,1.0,25.0,100.0,1.0
202713,Kyle Singler,Kyle,1610612760,OKC,01/01/2017,2017-18,Regular Season,0.0,0.0,2.3,,,,,,0.0,2.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.5,0.0,,,,,,,,,,,,,,
