ID,Name,Nick Name,TEAM_ID,TEAM_ABBREVIATION,DATE,SEASON,GAME_TYPE,PACE,PIE,PASSES_MADE,SEC_TOUCH,ADJ_REB_CHANCE_%,ADJ_OFF_REB_CHANCE_%,ADJ_DEF_REB_CHANCE_%,AVG_SPEED_OFF,FGM_RA,FGA_RA,FGM_PAINT,FGA_PAINT,FGM_MID-RANGE,FGA_MID-RANGE,FGM_CORNER,FGA_CORNER,FGM_AB,FGA_AB,DEFLECTIONS,SCREEN_AST_PTS,DRIVE_PTS,C&S_PTS,PULL_UP_PTS,PAINT_TOUCH_PTS,POST_TOUCH_PTS,ELBOW_TOUCH_PTS,OPP_2PT_FREQ_%,OPP_2PT_DFGM,OPP_2PT_DFGA,OPP_2PT_FG_%,OPP_3PT_DFGA,OPP_3PT_FREQ_%,OPP_3PT_FG_%,OPP_3PT_DFGM
1630162,Anthony Edwards,Anthony,1610612750,MIN,01/01/2020,2020-21,Regular Season,0.0,0.0,18.8,,,,,,1.7,3.3,0.0,1.3,0.3,1.3,0.3,1.0,1.3,5.7,0.75,0.5,,,,,,,,,,,,,,
1630162,Anthony Edwards,Anthony,1610612750,MIN,01/01/2021,2021-22,Regular Season,0.0,0.0,41.3,4.59,52.10,28.60,53.80,4.11,4.5,6.0,0.0,1.0,0.3,1.3,0.0,0.0,1.0,4.8,2.62,0.55,7.5,5.5,8.7,1.0,0.0,0.7,64.3,6.83,12.33,55.400000000000006,6.83,35.699999999999996,34.1,2.33
1630162,Anthony Edwards,Anthony,1610612750,MIN,01/01/2022,2022-23,Regular Season,0.0,0.0,45.4,4.49,53.20,27.30,61.10,4.24,2.4,3.8,0.4,2.0,1.2,3.4,0.6,1.2,0.8,3.2,2.76,0.08,10.4,2.4,10.6,0.6,2.0,0.2,58.599999999999994,3.4,6.8,50.0,4.8,41.4,37.5,1.8
1630162,Anthony Edwards,Anthony,1610612750,MIN,01/01/2023,2023-24,Regular Season,0.0,0.0,43.0,5.44,65.10,36.70,73.40,4.16,2.3,3.7,0.0,0.7,1.3,3.7,0.3,0.7,2.0,4.3,2.25,0.39,8.9,2.6,11.3,0.5,1.3,0.4,60.199999999999996,3.19,6.81,46.800000000000004,4.5,39.800000000000004,33.300000000000004,1.5
