ID,Name,Nick Name,TEAM_ID,TEAM_ABBREVIATION,DATE,SEASON,GAME_TYPE,PACE,PIE,PASSES_MADE,SEC_TOUCH,ADJ_REB_CHANCE_%,ADJ_OFF_REB_CHANCE_%,ADJ_DEF_REB_CHANCE_%,AVG_SPEED_OFF,FGM_RA,FGA_RA,FGM_PAINT,FGA_PAINT,FGM_MID-RANGE,FGA_MID-RANGE,FGM_CORNER,FGA_CORNER,FGM_AB,FGA_AB,DEFLECTIONS,SCREEN_AST_PTS,DRIVE_PTS,C&S_PTS,PULL_UP_PTS,PAINT_TOUCH_PTS,POST_TOUCH_PTS,ELBOW_TOUCH_PTS,OPP_2PT_FREQ_%,OPP_2PT_DFGM,OPP_2PT_DFGA,OPP_2PT_FG_%,OPP_3PT_DFGA,OPP_3PT_FREQ_%,OPP_3PT_FG_%,OPP_3PT_DFGM
202334,Ed Davis,Ed,1610612757,POR,01/01/2015,2015-16,Regular Season,0.0,0.0,24.8,1.51,52.80,38.20,66.20,4.69,2.0,4.0,0.1,0.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.0,0.0,3.5,0.2,1.5,77.0,3.36,6.09,55.2,1.82,23.0,55.00000000000001,1.0
202334,Ed Davis,Ed,1610612757,POR,01/01/2016,2016-17,Regular Season,0.0,0.0,19.2,,,,,,1.2,2.0,0.2,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.62,5.32,,,,,,,,,,,,,,
202334,Ed Davis,Ed,1610612757,POR,01/01/2017,2017-18,Regular Season,0.0,0.0,22.5,1.55,55.20,19.20,79.40,4.52,1.0,1.6,0.4,1.0,0.0,0.2,0.0,0.0,0.0,0.0,0.74,7.14,0.0,0.0,0.0,1.5,0.0,1.0,80.0,3.75,6.0,62.5,1.5,20.0,33.300000000000004,0.5
202334,Ed Davis,Ed,1610612751,BKN,01/01/2018,2018-19,Regular Season,0.0,0.0,26.4,1.38,57.60,30.80,68.20,4.37,2.0,2.3,0.3,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.62,7.16,0.0,0.0,0.0,4.0,0.0,0.0,85.3,3.33,9.67,34.5,1.67,14.7,20.0,0.33
202334,Ed Davis,Ed,1610612762,UTA,01/01/2019,2019-20,Regular Season,0.0,0.0,17.6,,,,,,1.6,2.1,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.63,3.79,,,,,,,,,,,,,,
202334,Ed Davis,Ed,1610612750,MIN,01/01/2020,2020-21,Regular Season,0.0,0.0,19.0,,,,,,0.5,1.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.33,3.33,,,,,,,,,,,,,,
202334,Ed Davis,Ed,1610612739,CLE,01/01/2021,2021-22,Regular Season,0.0,0.0,12.9,,,,,,,,,,,,,,,,0.42,2.83,,,,,,,,,,,,,,
