ID,Name,Nick Name,TEAM_ID,TEAM_ABBREVIATION,DATE,SEASON,GAME_TYPE,PACE,PIE,PASSES_MADE,SEC_TOUCH,ADJ_REB_CHANCE_%,ADJ_OFF_REB_CHANCE_%,ADJ_DEF_REB_CHANCE_%,AVG_SPEED_OFF,FGM_RA,FGA_RA,FGM_PAINT,FGA_PAINT,FGM_MID-RANGE,FGA_MID-RANGE,FGM_CORNER,FGA_CORNER,FGM_AB,FGA_AB,DEFLECTIONS,SCREEN_AST_PTS,DRIVE_PTS,C&S_PTS,PULL_UP_PTS,PAINT_TOUCH_PTS,POST_TOUCH_PTS,ELBOW_TOUCH_PTS,OPP_2PT_FREQ_%,OPP_2PT_DFGM,OPP_2PT_DFGA,OPP_2PT_FG_%,OPP_3PT_DFGA,OPP_3PT_FREQ_%,OPP_3PT_FG_%,OPP_3PT_DFGM
101123,Gerald Green,Gerald,1610612748,MIA,01/01/2015,2015-16,Regular Season,0.0,0.0,17.2,1.98,53.10,22.20,65.20,4.41,1.8,2.8,0.5,1.1,2.0,4.4,1.1,1.8,0.8,2.5,0.0,0.0,1.0,0.5,1.7,0.0,0.0,0.2,65.5,0.6,1.9,31.6,1.0,34.5,30.0,0.3
101123,Gerald Green,Gerald,1610612738,BOS,01/01/2016,2016-17,Regular Season,0.0,0.0,9.4,2.34,45.50,25.00,50.00,4.33,1.2,1.6,0.4,1.6,1.2,2.8,0.2,0.8,0.0,1.4,0.47,0.0,0.5,4.6,1.2,0.1,0.0,0.2,52.2,1.5,3.0,50.0,2.75,47.8,33.300000000000004,0.92
101123,Gerald Green,Gerald,1610612745,HOU,01/01/2017,2017-18,Regular Season,0.0,0.0,11.7,2.41,62.50,27.30,71.00,4.51,0.0,0.0,0.5,0.8,0.5,1.3,0.0,0.3,0.0,0.8,1.33,0.67,0.8,3.1,1.9,0.0,0.0,0.1,65.10000000000001,2.06,4.18,49.3,2.24,34.9,34.2,0.76
101123,Gerald Green,Gerald,1610612745,HOU,01/01/2018,2018-19,Regular Season,0.0,0.0,15.2,2.16,60.00,0.00,70.60,4.52,1.0,1.0,0.0,0.5,0.5,0.5,1.0,3.3,1.3,4.8,0.78,0.5,0.4,2.2,0.9,0.0,0.0,0.0,54.300000000000004,1.0,1.73,57.9,1.45,45.7,37.5,0.55
101123,Gerald Green,Gerald,1610612745,HOU,01/01/2019,2019-20,Regular Season,,,,,,,,,1.3,1.3,0.0,0.0,0.0,0.0,0.0,0.7,2.0,3.7,,,,,,,,,,,,,,,,
101123,Gerald Green,Gerald,1610612745,HOU,01/01/2020,2020-21,Regular Season,,,,,,,,,1.0,2.0,0.0,1.0,0.5,0.5,0.5,0.5,1.5,3.5,,,,,,,,,,,,,,,,
