ID,Name,Nick Name,TEAM_ID,TEAM_ABBREVIATION,DATE,SEASON,GAME_TYPE,PACE,PIE,PASSES_MADE,SEC_TOUCH,ADJ_REB_CHANCE_%,ADJ_OFF_REB_CHANCE_%,ADJ_DEF_REB_CHANCE_%,AVG_SPEED_OFF,FGM_RA,FGA_RA,FGM_PAINT,FGA_PAINT,FGM_MID-RANGE,FGA_MID-RANGE,FGM_CORNER,FGA_CORNER,FGM_AB,FGA_AB,DEFLECTIONS,SCREEN_AST_PTS,DRIVE_PTS,C&S_PTS,PULL_UP_PTS,PAINT_TOUCH_PTS,POST_TOUCH_PTS,ELBOW_TOUCH_PTS,OPP_2PT_FREQ_%,OPP_2PT_DFGM,OPP_2PT_DFGA,OPP_2PT_FG_%,OPP_3PT_DFGA,OPP_3PT_FREQ_%,OPP_3PT_FG_%,OPP_3PT_DFGM
1627863,Danuel House Jr.,Danuel,1610612764,WAS,01/01/2016,2016-17,Regular Season,0.0,0.0,1.0,,,,,,0.0,0.5,0.0,0.0,0.7,1.0,0.0,0.5,0.3,2.0,0.0,0.0,,,,,,,,,,,,,,
1627863,Danuel House Jr.,Danuel,1610612756,PHX,01/01/2017,2017-18,Regular Season,0.0,0.0,10.1,,,,,,,,,,,,,,,,0.71,0.0,,,,,,,,,,,,,,
1627863,Danuel House Jr.,Danuel,1610612745,HOU,01/01/2018,2018-19,Regular Season,0.0,0.0,14.0,1.82,53.70,28.60,57.10,4.35,1.3,1.7,0.3,0.3,0.0,0.7,0.0,0.0,0.0,0.7,1.0,0.56,0.4,3.4,0.3,0.0,0.0,0.0,47.8,2.43,4.57,53.1,5.0,52.2,17.1,0.86
1627863,Danuel House Jr.,Danuel,1610612745,HOU,01/01/2019,2019-20,Regular Season,0.0,0.0,21.3,1.71,63.40,41.70,70.00,4.38,1.4,2.0,0.4,0.6,0.1,0.1,0.7,2.0,0.7,3.3,1.86,1.43,1.2,5.3,1.4,1.4,0.0,0.3,55.2,3.11,5.33,58.3,4.33,44.800000000000004,43.6,1.89
1627863,Danuel House Jr.,Danuel,1610612745,HOU,01/01/2020,2020-21,Regular Season,0.0,0.0,30.0,,,,,,1.0,2.8,0.3,0.5,0.0,0.3,0.5,1.3,0.5,1.8,2.0,1.67,,,,,,,,,,,,,,
1627863,Danuel House Jr.,Danuel,1610612762,UTA,01/01/2021,2021-22,Regular Season,0.0,0.0,14.5,1.8,73.90,100.00,71.40,4.34,1.0,2.0,0.0,1.0,0.0,0.7,0.0,1.0,0.0,1.3,0.76,0.0,1.8,1.0,0.3,0.5,0.0,0.3,60.0,2.17,4.5,48.1,3.0,40.0,50.0,1.5
1627863,Danuel House Jr.,Danuel,1610612755,PHI,01/01/2022,2022-23,Regular Season,0.0,0.0,14.3,2.19,60.00,0.00,63.20,4.6,0.7,0.7,0.3,0.3,0.0,0.0,0.7,0.7,0.3,1.3,0.66,0.9,1.3,0.4,0.0,0.3,0.0,0.0,63.6,0.6,1.4,42.9,0.8,36.4,50.0,0.4
1627863,Danuel House Jr.,Danuel,1610612755,PHI,01/01/2023,2023-24,Regular Season,0.0,0.0,10.3,,,,,,0.5,0.5,0.0,1.0,0.0,0.0,0.0,1.5,0.0,0.0,0.55,0.1,,,,,,,,,,,,,,
