ID,Name,Nick Name,TEAM_ID,TEAM_ABBREVIATION,DATE,SEASON,GAME_TYPE,PACE,PIE,PASSES_MADE,SEC_TOUCH,ADJ_REB_CHANCE_%,ADJ_OFF_REB_CHANCE_%,ADJ_DEF_REB_CHANCE_%,AVG_SPEED_OFF,FGM_RA,FGA_RA,FGM_PAINT,FGA_PAINT,FGM_MID-RANGE,FGA_MID-RANGE,FGM_CORNER,FGA_CORNER,FGM_AB,FGA_AB,DEFLECTIONS,SCREEN_AST_PTS,DRIVE_PTS,C&S_PTS,PULL_UP_PTS,PAINT_TOUCH_PTS,POST_TOUCH_PTS,ELBOW_TOUCH_PTS,OPP_2PT_FREQ_%,OPP_2PT_DFGM,OPP_2PT_DFGA,OPP_2PT_FG_%,OPP_3PT_DFGA,OPP_3PT_FREQ_%,OPP_3PT_FG_%,OPP_3PT_DFGM
201580,JaVale McGee,JaVale,1610612742,DAL,01/01/2015,2015-16,Regular Season,0.0,0.0,8.5,1.62,42.90,50.00,33.30,3.67,,,,,,,,,,,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,50.0,0.0,2.0,0.0,2.0,50.0,50.0,1.0
201580,JaVale McGee,JaVale,1610612744,GSW,01/01/2016,2016-17,Regular Season,0.0,0.0,6.9,1.11,57.10,59.50,55.30,4.87,1.8,2.7,0.2,0.7,0.2,0.3,0.0,0.0,0.0,0.0,0.23,1.37,0.0,0.1,0.0,4.7,0.2,0.6,74.0,2.06,4.63,44.6,1.63,26.0,34.599999999999994,0.56
201580,JaVale McGee,JaVale,1610612744,GSW,01/01/2017,2017-18,Regular Season,0.0,0.0,7.4,1.24,61.80,50.00,72.20,4.6,0.8,1.0,0.3,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.53,2.8,0.6,0.2,0.3,3.8,0.3,1.4,71.0,2.75,5.92,46.5,2.42,28.999999999999996,17.2,0.42
201580,JaVale McGee,JaVale,1610612747,LAL,01/01/2018,2018-19,Regular Season,0.0,0.0,22.9,,,,,,3.2,4.3,0.5,0.7,0.2,1.0,0.2,0.3,0.0,0.0,1.23,6.03,,,,,,,,,,,,,,
201580,JaVale McGee,JaVale,1610612747,LAL,01/01/2019,2019-20,Regular Season,0.0,0.0,16.4,1.35,55.70,44.40,60.90,4.16,3.1,3.9,0.6,1.4,0.1,0.4,0.0,0.0,0.3,0.3,1.15,2.52,0.0,0.0,0.0,2.2,0.3,0.4,80.5,2.57,5.0,51.4,1.21,19.5,35.3,0.43
201580,JaVale McGee,JaVale,1610612743,DEN,01/01/2020,2020-21,Regular Season,0.0,0.0,25.8,1.63,57.10,42.90,60.00,4.42,0.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8,4.8,0.0,0.0,0.0,0.8,0.0,0.5,75.0,1.33,5.0,26.700000000000003,1.67,25.0,20.0,0.33
201580,JaVale McGee,JaVale,1610612756,PHX,01/01/2021,2021-22,Regular Season,0.0,0.0,17.4,1.46,53.90,37.20,64.00,4.27,3.8,4.5,0.3,0.8,0.3,0.5,0.0,0.0,0.0,0.0,0.41,5.0,0.2,0.2,0.0,4.7,1.1,1.2,59.4,2.18,3.73,58.5,2.55,40.6,46.400000000000006,1.18
201580,JaVale McGee,JaVale,1610612742,DAL,01/01/2022,2022-23,Regular Season,0.0,0.0,7.1,,,,,,2.5,2.5,0.5,1.5,0.0,0.0,0.0,0.5,0.0,0.0,0.43,1.96,,,,,,,,,,,,,,
201580,JaVale McGee,JaVale,1610612758,SAC,01/01/2023,2023-24,Regular Season,0.0,0.0,8.1,,,,,,3.0,3.8,0.8,2.0,0.3,0.5,0.0,0.0,0.0,0.0,0.37,2.37,,,,,,,,,,,,,,
