ID,Name,Nick Name,TEAM_ID,TEAM_ABBREVIATION,DATE,SEASON,GAME_TYPE,PACE,PIE,PASSES_MADE,SEC_TOUCH,ADJ_REB_CHANCE_%,ADJ_OFF_REB_CHANCE_%,ADJ_DEF_REB_CHANCE_%,AVG_SPEED_OFF,FGM_RA,FGA_RA,FGM_PAINT,FGA_PAINT,FGM_MID-RANGE,FGA_MID-RANGE,FGM_CORNER,FGA_CORNER,FGM_AB,FGA_AB,DEFLECTIONS,SCREEN_AST_PTS,DRIVE_PTS,C&S_PTS,PULL_UP_PTS,PAINT_TOUCH_PTS,POST_TOUCH_PTS,ELBOW_TOUCH_PTS,OPP_2PT_FREQ_%,OPP_2PT_DFGM,OPP_2PT_DFGA,OPP_2PT_FG_%,OPP_3PT_DFGA,OPP_3PT_FREQ_%,OPP_3PT_FG_%,OPP_3PT_DFGM
2200,Pau Gasol,Pau,1610612741,CHI,01/01/2015,2015-16,Regular Season,0.0,0.0,46.4,,,,,,0.2,0.8,0.6,1.6,1.6,3.4,0.8,1.2,0.0,0.6,0.0,0.0,,,,,,,,,,,,,,
2200,Pau Gasol,Pau,1610612759,SAS,01/01/2016,2016-17,Regular Season,0.0,0.0,43.4,1.53,55.30,52.00,57.30,4.32,1.4,1.6,0.8,2.0,1.4,3.8,0.0,0.2,0.0,0.2,0.84,6.81,0.5,1.8,0.3,4.5,0.6,1.3,84.6,3.75,7.56,49.6,1.38,15.4,59.099999999999994,0.81
2200,Pau Gasol,Pau,1610612759,SAS,01/01/2017,2017-18,Regular Season,0.0,0.0,40.9,1.58,46.20,12.50,61.10,4.35,0.3,1.3,1.3,1.8,0.0,0.8,0.0,0.3,0.5,1.5,0.29,4.8,0.0,0.6,0.8,2.4,1.2,0.8,71.1,3.2,5.4,59.3,2.2,28.9,36.4,0.8
2200,Pau Gasol,Pau,1610612749,MIL,01/01/2018,2018-19,Regular Season,0.0,0.0,36.6,,,,,,1.4,1.8,0.8,1.2,1.4,1.4,0.0,0.2,0.2,0.6,0.1,5.7,,,,,,,,,,,,,,
