ID,Name,Nick Name,TEAM_ID,TEAM_ABBREVIATION,DATE,SEASON,GAME_TYPE,PACE,PIE,PASSES_MADE,SEC_TOUCH,ADJ_REB_CHANCE_%,ADJ_OFF_REB_CHANCE_%,ADJ_DEF_REB_CHANCE_%,AVG_SPEED_OFF,FGM_RA,FGA_RA,FGM_PAINT,FGA_PAINT,FGM_MID-RANGE,FGA_MID-RANGE,FGM_CORNER,FGA_CORNER,FGM_AB,FGA_AB,DEFLECTIONS,SCREEN_AST_PTS,DRIVE_PTS,C&S_PTS,PULL_UP_PTS,PAINT_TOUCH_PTS,POST_TOUCH_PTS,ELBOW_TOUCH_PTS,OPP_2PT_FREQ_%,OPP_2PT_DFGM,OPP_2PT_DFGA,OPP_2PT_FG_%,OPP_3PT_DFGA,OPP_3PT_FREQ_%,OPP_3PT_FG_%,OPP_3PT_DFGM
1629643,Chuma Okeke,Chuma,1610612753,ORL,01/01/2020,2020-21,Regular Season,0.0,0.0,22.6,,,,,,0.8,1.3,0.0,0.3,0.0,0.3,0.3,0.5,1.0,3.3,1.8,1.2,,,,,,,,,,,,,,
1629643,Chuma Okeke,Chuma,1610612753,ORL,01/01/2021,2021-22,Regular Season,0.0,0.0,23.0,,,,,,,,,,,,,,,,2.11,1.04,,,,,,,,,,,,,,
1629643,Chuma Okeke,Chuma,1610612753,ORL,01/01/2022,2022-23,Regular Season,0.0,0.0,19.8,,,,,,0.6,1.2,0.2,0.2,0.2,0.4,0.0,0.6,0.8,3.4,1.39,0.22,,,,,,,,,,,,,,
1629643,Chuma Okeke,Chuma,1610612753,ORL,01/01/2023,2023-24,Regular Season,0.0,0.0,5.7,1.63,,,,3.53,0.3,0.3,0.3,0.3,0.0,0.0,0.3,1.3,0.3,1.8,0.25,0.44,0.0,1.5,0.0,1.5,0.0,0.0,75.0,1.0,1.5,66.7,0.5,25.0,100.0,0.5
