ID,Name,Nick Name,TEAM_ID,TEAM_ABBREVIATION,DATE,SEASON,GAME_TYPE,PACE,PIE,PASSES_MADE,SEC_TOUCH,ADJ_REB_CHANCE_%,ADJ_OFF_REB_CHANCE_%,ADJ_DEF_REB_CHANCE_%,AVG_SPEED_OFF,FGM_RA,FGA_RA,FGM_PAINT,FGA_PAINT,FGM_MID-RANGE,FGA_MID-RANGE,FGM_CORNER,FGA_CORNER,FGM_AB,FGA_AB,DEFLECTIONS,SCREEN_AST_PTS,DRIVE_PTS,C&S_PTS,PULL_UP_PTS,PAINT_TOUCH_PTS,POST_TOUCH_PTS,ELBOW_TOUCH_PTS,OPP_2PT_FREQ_%,OPP_2PT_DFGM,OPP_2PT_DFGA,OPP_2PT_FG_%,OPP_3PT_DFGA,OPP_3PT_FREQ_%,OPP_3PT_FG_%,OPP_3PT_DFGM
1627751,Jakob Pöltl,Jakob,1610612761,TOR,01/01/2016,2016-17,Regular Season,0.0,0.0,9.2,1.32,66.70,54.50,85.70,4.46,2.1,3.4,0.0,0.6,0.4,0.6,0.0,0.0,0.0,0.0,0.8,4.6,0.0,0.0,0.0,1.7,0.0,0.0,78.60000000000001,1.4,2.2,63.6,0.6,21.4,0.0,0.0
1627751,Jakob Pöltl,Jakob,1610612761,TOR,01/01/2017,2017-18,Regular Season,0.0,0.0,20.0,1.39,50.00,41.70,53.80,5.05,2.4,2.4,0.2,0.2,0.0,0.2,0.0,0.0,0.0,0.0,0.82,5.74,0.4,0.2,0.0,3.1,0.0,0.1,81.6,3.67,7.89,46.5,1.78,18.4,31.3,0.56
1627751,Jakob Pöltl,Jakob,1610612759,SAS,01/01/2018,2018-19,Regular Season,0.0,0.0,20.3,1.4,59.30,52.10,64.40,4.64,1.4,2.4,0.2,0.4,0.2,0.6,0.0,0.0,0.0,0.0,0.5,5.29,0.3,0.6,0.0,6.4,0.0,0.0,79.10000000000001,6.71,15.71,42.699999999999996,4.14,20.9,34.5,1.43
1627751,Jakob Pöltl,Jakob,1610612759,SAS,01/01/2019,2019-20,Regular Season,0.0,0.0,28.8,,,,,,3.0,4.0,0.9,1.6,0.0,0.4,0.0,0.0,0.0,0.0,1.13,7.47,,,,,,,,,,,,,,
1627751,Jakob Pöltl,Jakob,1610612759,SAS,01/01/2020,2020-21,Regular Season,0.0,0.0,27.3,,,,,,0.7,1.0,1.0,1.3,0.0,0.0,0.0,0.0,0.0,0.0,0.5,8.25,,,,,,,,,,,,,,
1627751,Jakob Pöltl,Jakob,1610612759,SAS,01/01/2021,2021-22,Regular Season,0.0,0.0,43.4,,,,,,2.3,3.3,0.8,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.63,13.15,,,,,,,,,,,,,,
1627751,Jakob Pöltl,Jakob,1610612761,TOR,01/01/2022,2022-23,Regular Season,0.0,0.0,43.8,,,,,,1.8,2.5,0.5,1.0,0.3,0.8,0.0,0.0,0.0,0.0,2.14,7.29,,,,,,,,,,,,,,
1627751,Jakob Pöltl,Jakob,1610612761,TOR,01/01/2023,2023-24,Regular Season,0.0,0.0,36.8,,,,,,1.0,2.0,1.5,2.0,0.0,0.5,0.0,0.0,0.0,0.0,1.13,6.53,,,,,,,,,,,,,,
