ID,Name,Nick Name,TEAM_ID,TEAM_ABBREVIATION,DATE,SEASON,GAME_TYPE,PACE,PIE,PASSES_MADE,SEC_TOUCH,ADJ_REB_CHANCE_%,ADJ_OFF_REB_CHANCE_%,ADJ_DEF_REB_CHANCE_%,AVG_SPEED_OFF,FGM_RA,FGA_RA,FGM_PAINT,FGA_PAINT,FGM_MID-RANGE,FGA_MID-RANGE,FGM_CORNER,FGA_CORNER,FGM_AB,FGA_AB,DEFLECTIONS,SCREEN_AST_PTS,DRIVE_PTS,C&S_PTS,PULL_UP_PTS,PAINT_TOUCH_PTS,POST_TOUCH_PTS,ELBOW_TOUCH_PTS,OPP_2PT_FREQ_%,OPP_2PT_DFGM,OPP_2PT_DFGA,OPP_2PT_FG_%,OPP_3PT_DFGA,OPP_3PT_FREQ_%,OPP_3PT_FG_%,OPP_3PT_DFGM
1629057,Robert Williams III,Robert,1610612738,BOS,01/01/2018,2018-19,Regular Season,0.0,0.0,9.6,1.53,87.50,50.00,100.00,4.44,1.8,2.0,0.0,0.0,0.0,0.3,0.0,0.3,0.0,0.0,0.44,1.69,0.0,0.0,0.0,1.3,0.0,0.0,44.4,0.5,2.0,25.0,2.5,55.60000000000001,20.0,0.5
1629057,Robert Williams III,Robert,1610612738,BOS,01/01/2019,2019-20,Regular Season,0.0,0.0,14.3,1.22,77.30,73.30,76.30,4.23,1.7,2.0,0.0,0.1,0.3,0.9,0.0,0.0,0.0,0.0,1.53,6.68,0.0,0.2,0.0,2.7,0.0,0.5,55.800000000000004,2.46,4.08,60.4,3.23,44.2,31.0,1.0
1629057,Robert Williams III,Robert,1610612738,BOS,01/01/2020,2020-21,Regular Season,0.0,0.0,14.3,1.25,71.40,66.70,70.00,4.4,4.0,4.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,6.25,0.0,0.0,0.0,6.3,0.0,0.0,72.0,2.33,6.0,38.9,2.33,28.000000000000004,14.299999999999999,0.33
1629057,Robert Williams III,Robert,1610612738,BOS,01/01/2021,2021-22,Regular Season,0.0,0.0,26.1,1.22,58.30,52.40,61.40,3.94,0.7,1.3,0.0,1.0,0.7,1.7,0.0,0.0,0.0,0.0,1.64,7.11,0.0,0.2,0.0,6.5,0.1,0.1,63.5,3.88,7.59,51.2,4.35,36.5,29.7,1.29
1629057,Robert Williams III,Robert,1610612738,BOS,01/01/2022,2022-23,Regular Season,0.0,0.0,19.0,1.3,58.00,40.90,68.60,4.31,,,,,,,,,,,1.5,6.5,0.0,0.0,0.1,6.8,0.0,0.7,66.5,3.45,7.75,44.5,3.9,33.5,37.2,1.45
1629057,Robert Williams III,Robert,1610612757,POR,01/01/2023,2023-24,Regular Season,0.0,0.0,15.5,,,,,,,,,,,,,,,,1.83,6.17,,,,,,,,,,,,,,
